GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
3.3532088,17,0.085705884,0.032314204,0.080000006,0.052,0.148,0.096,1.1134081,0.5996805,0.9281663,0.5920464,2.9922426,2.400196,0,0,0,0,0,0,0,20,0,20,20,20,0,8,0.12849288,0.012887221,0.12508143,0.111507855,0.15280052,0.04129266,2.4160113,0.94494027,1.960155,1.3920025,4.12807,2.7360673,0.20425531,5,0.56966025,0.2688566,0.4640506,0.3679537,1.0881602,0.7202065,3.3471627,3.0869877,1.9200335,0.1919235,8.223979,8.032056,inattentive
3.0477633,11,0.098,0.044958565,0.085,0.055999998,0.18,0.12400001,1.1825638,0.9653224,0.8641221,0.3040559,3.9519374,3.6478815,0,0,0,0,0,0,0,20,0,20,20,20,0,6,0.14210969,0.01810614,0.14618215,0.11803813,0.16701198,0.048973843,2.1680336,1.591052,2.0561156,0.3040559,4.6881013,4.3840456,0.10408922,5,0.40648645,0.04711971,0.3999473,0.3679197,0.4962525,0.1283328,3.55835,3.7750413,1.8558884,0.4640043,10.944028,10.480023,inattentive
3.9085057,19,0.07805263,0.03038953,0.066,0.051,0.17,0.119,1.0096985,0.5983851,0.8959221,0.3201786,3.263973,2.9437945,3,0.12499999,0.023508865,0.11199999,0.10499999,0.15799999,0.053000003,5.562856,5.461611,2.9280045,0.5924405,13.168124,12.575684,9,0.13177174,0.021918707,0.13520356,0.1040769,0.17000294,0.06592604,2.149404,1.2270672,2.6560678,0.5924405,4.4480677,3.855627,0.17529881,4,0.68799627,0.19509634,0.7119744,0.399939,0.9280974,0.5281584,4.308064,6.4736643,0.61614084,0.4796152,15.52036,15.040745,inattentive
4.4547048,17,0.084764704,0.032500733,0.070999995,0.051,0.17,0.119,1.1266097,0.7440576,0.8960601,0.1280118,3.263973,3.1359613,5,0.12879999,0.019009473,0.13,0.10499999,0.15799999,0.053000003,3.8304727,4.5840187,1.6962188,0.5924405,12.863846,12.271405,11,0.13563265,0.019279376,0.14021769,0.104785495,0.17000294,0.06521744,1.741124,1.2491515,1.4880016,0.1280118,4.288246,4.1602345,0.3640553,5,0.9344699,0.47736096,0.7843445,0.399939,1.8241835,1.4242444,3.030364,3.663747,0.6243996,0.4796152,10.015834,9.536219,inattentive
3.9572945,10,0.0853,0.039079532,0.069,0.055,0.18599999,0.13099998,1.8095924,1.3220178,1.4240937,0.6077702,4.9438257,4.3360558,5,0.17999999,0.0789962,0.13,0.10500002,0.315,0.20999998,3.7440014,5.054979,0.6398956,0.6241074,13.664095,13.039988,9,0.17298135,0.06133339,0.1419049,0.11541231,0.31792137,0.20250906,2.083583,1.8595005,0.6398956,0.5600006,5.6164107,5.0564103,0.187251,2,1.7120221,1.0719914,1.7120221,0.6400307,2.7840135,2.143983,7.6160383,5.455967,7.6160383,2.1600714,13.072005,10.911934,inattentive
5.4826016,15,0.11886667,0.043095037,0.128,0.051999997,0.17899999,0.12699999,1.267233,0.9129452,0.8642601,0,3.4882267,3.4882267,7,0.1942857,0.050530653,0.187,0.11899999,0.26999998,0.151,2.7154994,3.635056,0.8639729,0.5758421,11.328276,10.752434,10,0.17411953,0.042586256,0.16976699,0.11280515,0.26293156,0.1501264,1.878429,1.7040787,1.0960723,0,5.583985,5.583985,0.15537849,4,0.5838675,0.3210943,0.43184245,0.3359177,1.1358674,0.79994965,4.396172,3.1673915,3.600269,1.0400066,9.344143,8.304136,inattentive
5.931029,20,0.11665,0.04874041,0.119,0.051,0.23,0.179,0.9560109,0.5370857,0.66401637,0.5761244,2.5919988,2.0158744,6,0.20683332,0.04332211,0.19250001,0.144,0.26999998,0.12599999,1.7547404,2.030733,0.79206693,0.5758421,6.240234,5.664392,15,0.1676995,0.03823796,0.1692956,0.11280515,0.26293156,0.1501264,1.2480282,0.8338095,1.0079981,0.5598183,3.6482348,3.0884166,0.10902256,3,0.6345892,0.3566202,0.4319825,0.3359177,1.1358674,0.79994965,3.1787791,2.164279,2.3520126,1.0400066,6.144318,5.1043115,inattentive
3.376132,14,0.08007143,0.037617367,0.058500003,0.050000004,0.154,0.103999995,1.3508735,0.9639553,1.0081558,0.2562485,3.5677285,3.31148,4,0.12400001,0.021644862,0.12250002,0.102,0.149,0.047000006,4.728057,5.2725706,2.22405,0.7360105,13.728118,12.992107,7,0.14490235,0.020946097,0.14601372,0.111892805,0.18031363,0.06842083,2.701747,1.7986218,3.1520522,0.7360105,6.256037,5.5200267,0.26200873,2,2.0159461,1.3438478,2.0159461,0.6720984,3.359794,2.6876955,7.912041,4.5520678,7.912041,3.3599737,12.464108,9.104135,inattentive
4.5403976,17,0.10329412,0.050879057,0.065,0.051000003,0.20300001,0.15200001,1.1209484,0.7139713,0.8639527,0,2.784248,2.784248,3,0.18133333,0.06265958,0.15399998,0.12200001,0.268,0.146,6.4374943,8.119785,0.7356388,0.6563308,17.920513,17.264183,10,0.1581265,0.02736805,0.16027847,0.10068763,0.21077238,0.11008475,1.9056123,2.0046678,1.0157838,0,7.119712,7.119712,0.054347824,2,0.3999039,0.0641672,0.3999039,0.3357367,0.4640711,0.1283344,9.408348,8.912067,9.408348,0.4962805,18.320415,17.824135,inattentive
3.9202707,20,0.07975,0.029257262,0.0665,0.053000003,0.15799999,0.10499999,0.96561337,0.4730713,0.8401952,0.4320222,2.399872,1.9678499,1,0.127,0,0.127,0.127,0.127,0,18.848467,0,18.848467,18.848467,18.848467,0,9,0.15834941,0.04407716,0.16101241,0.10071742,0.24482648,0.14410907,2.1493611,1.6379137,0.9601824,0.4320222,4.784154,4.352132,0.04255319,1,0.5764004,0,0.5764004,0.5764004,0.5764004,0,19.344252,0,19.344252,19.344252,19.344252,0,inattentive
