GazeDistanceCovered,HorSaccadeCount,HorSaccadeDistanceMean,HorSaccadeDistanceSD,HorSaccadeDistanceMedian,HorSaccadeDistanceMin,HorSaccadeDistanceMax,HorSaccadeDistanceRange,HorSaccadeTimeBetweenMean,HorSaccadeTimeBetweenSD,HorSaccadeTimeBetweenMedian,HorSaccadeTimeBetweenMin,HorSaccadeTimeBetweenMax,HorSaccadeTimeBetweenRange,VerSaccadeCount,VerSaccadeDistanceMean,VerSaccadeDistanceSD,VerSaccadeDistanceMedian,VerSaccadeDistanceMin,VerSaccadeDistanceMax,VerSaccadeDistanceRange,VerSaccadeTimeBetweenMean,VerSaccadeTimeBetweenSD,VerSaccadeTimeBetweenMedian,VerSaccadeTimeBetweenMin,VerSaccadeTimeBetweenMax,VerSaccadeTimeBetweenRange,OverallSaccadeCount,OverallSaccadeDistanceMean,OverallSaccadeDistanceSD,OverallSaccadeDistanceMedian,OverallSaccadeDistanceMin,OverallSaccadeDistanceMax,OverallSaccadeDistanceRange,OverallSaccadeTimeBetweenMean,OverallSaccadeTimeBetweenSD,OverallSaccadeTimeBetweenMedian,OverallSaccadeTimeBetweenMin,OverallSaccadeTimeBetweenMax,OverallSaccadeTimeBetweenRange,BlinkRatio,BlinkCount,BlinkDurationMean,BlinkDurationSD,BlinkDurationMedian,BlinkDurationMin,BlinkDurationMax,BlinkDurationRange,BlinkTimeBetweenMean,BlinkTimeBetweenSD,BlinkTimeBetweenMedian,BlinkTimeBetweenMin,BlinkTimeBetweenMax,BlinkTimeBetweenRange,class
1.0995,1,0.114,0,0.114,0.114,0.114,0,3.6162379,0,3.6162379,3.6162379,3.6162379,0,1,0.14,0,0.14,0.14,0.14,0,0,0,0,0,0,0,2,0.12881346,0.013401162,0.12881346,0.1154123,0.14221463,0.026802324,1.8081189,1.8081189,1.8081189,0,3.6162379,3.6162379,0,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
1.280334,2,0.0915,0.026500002,0.0915,0.065,0.118,0.053000003,2.5760045,0.38385117,2.5760045,2.1921535,2.9598558,0.76770234,2,0.1255,0.0045000017,0.1255,0.12099999,0.13,0.009000003,3.0720172,2.4478142,3.0720172,0.624203,5.519831,4.895628,3,0.1278535,0.0063886885,0.12712985,0.12041595,0.1360147,0.015598752,2.0480113,1.0199343,2.5599754,0.624203,2.9598558,2.3356528,0.10526316,1,0.5757688,0,0.5757688,0.5757688,0.5757688,0,8.73617,0,8.73617,8.73617,8.73617,0,attentive
0.9884591,2,0.08,0.029,0.08,0.051,0.109,0.058,2.495812,2.495812,2.495812,0,4.991624,4.991624,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.109658554,0,0.109658554,0.109658554,0.109658554,0,0,0,0,0,0,0,0.23966943,2,0.4799495,0.01607421,0.4799495,0.4638753,0.4960237,0.03214842,3.7598834,0.7357168,3.7598834,3.0241666,4.4956,1.4714336,attentive
0.91940963,2,0.0605,0.0055,0.0605,0.055,0.066,0.011,3.8720257,0.8799975,3.8720257,2.9920282,4.752023,1.759995,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.10630146,0,0.10630146,0.10630146,0.10630146,0,7.9520054,0,7.9520054,7.9520054,7.9520054,0,0.22580644,2,0.48779726,0.023783758,0.48779726,0.4640135,0.511581,0.047567517,4.120159,2.9201393,4.120159,1.2000197,7.0402985,5.8402786,attentive
1.4830037,5,0.089200005,0.025964594,0.087,0.058000002,0.136,0.07800001,1.6671743,1.4180669,0.8319871,0.2877243,3.9520524,3.664328,1,0.103,0,0.103,0.103,0.103,0,0.8316284,0,0.8316284,0.8316284,0.8316284,0,3,0.13627073,0.025409045,0.13013838,0.108673826,0.17,0.061326176,0.607913,0.27544412,0.5758783,0.2877243,0.9601364,0.67241216,0.31932774,3,0.61348367,0.12066846,0.5282239,0.5280925,0.7841346,0.25604212,2.330464,2.4933918,0.6236811,0.5116511,5.856059,5.344408,attentive
1.1723071,6,0.075833336,0.019573933,0.0705,0.053,0.102,0.049,1.1146564,0.48759526,1.0558082,0.5921788,2.0639904,1.4718115,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.102298506,0.00012218952,0.102298506,0.102176316,0.102420695,0.00024437904,2.44798,0.38398957,2.44798,2.0639904,2.8319695,0.76797915,0,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
1.4325027,3,0.082,0.02011633,0.078999996,0.059,0.108,0.049000002,2.8694074,2.0340636,4.1280494,0,4.480173,4.480173,2,0.136,0.012999997,0.136,0.12300001,0.149,0.025999993,0.31208235,0.31208235,0.31208235,0,0.6241647,0.6241647,4,0.12584853,0.020788182,0.117381856,0.10837436,0.16025604,0.051881686,2.1520555,1.8532385,2.2959814,0,4.0162597,4.0162597,0.060606062,1,0.52801,0,0.52801,0.52801,0.52801,0,0.8321573,0,0.8321573,0.8321573,0.8321573,0,attentive
1.1150749,3,0.088,0.018832598,0.09,0.063999996,0.11,0.046000004,2.9387074,1.6725243,2.992126,0.8641049,4.9598913,4.0957866,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.115999565,0.0038211346,0.115999565,0.11217843,0.1198207,0.007642269,4.408061,0.7276931,4.408061,3.680368,5.135754,1.4553862,0.028169014,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.92589366,2,0.0715,0.012500003,0.0715,0.059,0.08400001,0.025000006,2.4960346,0.36800265,2.4960346,2.128032,2.8640373,0.7360053,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.10877575,0.008650824,0.10877575,0.100124925,0.117426574,0.017301649,2.6800973,0.4402485,2.6800973,2.2398489,3.1203458,0.880497,0,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.96984375,3,0.101,0.010424333,0.104,0.087,0.112,0.025000006,2.6293654,1.8633779,3.7920794,0,4.096017,4.096017,0,0,0,0,0,0,0,10,0,10,10,10,0,3,0.10788611,0.0035477895,0.10651291,0.10439349,0.112751946,0.008358456,2.7040408,1.924156,3.7920794,0,4.320043,4.320043,0.04109589,1,0.4318913,0,0.4318913,0.4318913,0.4318913,0,2.6560724,0,2.6560724,2.6560724,2.6560724,0,attentive
1.0748384,5,0.0708,0.019833308,0.066,0.051999997,0.105000004,0.053000007,1.6096213,0.61770195,1.3921506,0.9757982,2.624125,1.6483269,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.119005695,0.005014468,0.119005695,0.11399123,0.12402017,0.010028936,2.9601784,0.3360535,2.9601784,2.624125,3.296232,0.672107,0.027586207,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
1.1194048,3,0.085,0.016872069,0.088,0.063,0.104,0.041,3.0932467,2.1872945,4.623947,0,4.655793,4.655793,1,0.131,0,0.131,0.131,0.131,0,0,0,0,0,0,0,3,0.12108961,0.017624969,0.11386395,0.10404326,0.14536162,0.041318357,3.0932467,2.193834,4.4319506,0,4.84779,4.84779,0,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
1.4189985,3,0.093333334,0.024362998,0.108,0.059,0.113000005,0.054000005,2.559478,1.746603,1.9823757,0.7680897,4.9279685,4.1598787,3,0.111666664,0.007930255,0.11399999,0.100999996,0.120000005,0.019000009,2.5274084,2.9945374,0.6718811,0.1584093,6.751935,6.593526,4,0.12147681,0.024018453,0.11215662,0.10107917,0.1605148,0.05943563,1.8955563,1.699447,1.4479265,0.1584093,4.5279627,4.3695536,0.04379562,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.9280643,2,0.101500005,0.0014999993,0.101500005,0.1,0.103,0.0029999986,3.015952,0.95204794,3.015952,2.063904,3.968,1.9040959,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.10257098,0.002166789,0.10257098,0.10040419,0.104737766,0.004333578,3.015952,0.95204794,3.015952,2.063904,3.968,1.9040959,0.01369863,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.84140456,2,0.073,0.011999998,0.073,0.060999997,0.08499999,0.023999996,4.304083,0.38412738,4.304083,3.9199553,4.68821,0.76825476,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.111305885,0,0.111305885,0.111305885,0.111305885,0,4.895959,0,4.895959,4.895959,4.895959,0,0.027972028,1,0.5437713,0,0.5437713,0.5437713,0.5437713,0,3.0881214,0,3.0881214,3.0881214,3.0881214,0,attentive
0.95349807,2,0.095,0.013999999,0.095,0.081,0.109,0.027999997,3.4240482,0.8000405,3.4240482,2.6240077,4.2240887,1.600081,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.1076112,0.001681976,0.1076112,0.105929226,0.10929318,0.003363952,3.4240482,0.52823114,3.4240482,2.895817,3.9522793,1.0564623,0.026845638,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.86660135,2,0.0855,0.0004999973,0.0855,0.085,0.085999995,0.0009999946,2.9280784,1.1842464,2.9280784,1.743832,4.1123247,2.3684926,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.106,0,0.106,0.106,0.106,0,1.8720502,0,1.8720502,1.8720502,1.8720502,0,0.27826086,2,0.77615976,0.28005412,0.77615976,0.4961056,1.0562139,0.56010824,3.8158836,2.008292,3.8158836,1.8075917,5.824176,4.0165844,attentive
0.97609127,4,0.08525,0.018403461,0.0875,0.058000002,0.107999995,0.049999993,1.7639661,1.3440497,1.3679397,0.495901,3.8240838,3.3281827,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.10801851,0,0.10801851,0.10801851,0.10801851,0,0.495901,0,0.495901,0.495901,0.495901,0,1.1818181,5,1.0176294,0.42383876,0.8639025,0.496062,1.7438664,1.2478044,0.96320504,0.8114734,0.5598939,0,2.288083,2.288083,attentive
0.92425454,2,0.07350001,0.0235,0.07350001,0.050000004,0.097,0.047,3.008048,0.51211095,3.008048,2.495937,3.520159,1.0242219,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.11001818,0,0.11001818,0.11001818,0.11001818,0,3.6801157,0,3.6801157,3.6801157,3.6801157,0,0.01438849,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.9075095,3,0.076000005,0.016512621,0.084,0.053000003,0.091000006,0.038000003,2.6400366,1.6613026,2.3998404,0.7361243,4.7841454,4.0480213,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.10323782,0.0032328255,0.10323782,0.100005,0.10647065,0.006465651,4.079956,3.1039588,4.079956,0.975997,7.1839147,6.2079177,0.013605442,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
0.81958896,3,0.074999996,0.018184243,0.070999995,0.055,0.099,0.044,2.7306335,1.5102733,2.639814,0.9280167,4.6240697,3.696053,0,0,0,0,0,0,0,10,0,10,10,10,0,1,0.10107917,0,0.10107917,0.10107917,0.10107917,0,5.6638875,0,5.6638875,5.6638875,5.6638875,0,0,0,0,0,0,0,0,0,10,0,10,10,10,0,attentive
1.3972659,6,0.0645,0.007847506,0.0635,0.055,0.076000005,0.021000005,1.5306385,1.1687807,0.9999194,0.3999155,3.4559534,3.056038,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.10676047,0.0022808053,0.10676047,0.10447966,0.10904127,0.0045616105,2.3599925,1.7677455,2.3599925,0.5922471,4.127738,3.535491,0.14173229,1,0.6240015,0,0.6240015,0.6240015,0.6240015,0,9.279969,0,9.279969,9.279969,9.279969,0,attentive
1.7610868,4,0.07575,0.02688285,0.0635,0.055,0.12100001,0.06600001,1.2800416,0.8372817,0.8800769,0.6398722,2.7201402,2.080268,1,0.102,0,0.102,0.102,0.102,0,3.584123,0,3.584123,3.584123,3.584123,0,3,0.117684275,0.0057802983,0.121016525,0.10955364,0.12248266,0.012929015,1.706722,1.067556,0.9757466,0.928195,3.2162247,2.2880297,0.055555556,1,0.4000727,0,0.4000727,0.4000727,0.4000727,0,8.336129,0,8.336129,8.336129,8.336129,0,attentive
1.2897941,5,0.0752,0.009579145,0.072,0.063,0.091000006,0.028000005,1.5168045,0.9910204,1.0079618,0.6561158,3.3599644,2.7038486,0,0,0,0,0,0,0,10,0,10,10,10,0,3,0.112267084,0.008047891,0.10945775,0.10412013,0.12322338,0.019103251,2.6454554,0.53623456,2.8161397,1.9202137,3.2000127,1.279799,0.11940298,2,0.5839677,0.1042203,0.5839677,0.4797474,0.688188,0.2084406,1.9280534,0.6960276,1.9280534,1.2320257,2.624081,1.3920552,attentive
1.4037739,5,0.0736,0.012043254,0.074,0.056,0.091,0.034999996,1.6768186,1.5952406,0.6399175,0,4.0482497,4.0482497,0,0,0,0,0,0,0,10,0,10,10,10,0,3,0.10824082,0.004857093,0.10748954,0.10270345,0.114529476,0.011826023,2.8532977,1.973718,3.9678848,0.0797875,4.512221,4.432433,0.104477614,1,0.5277721,0,0.5277721,0.5277721,0.5277721,0,1.2001797,0,1.2001797,1.2001797,1.2001797,0,attentive
1.4020256,5,0.0812,0.03380769,0.067,0.056,0.147,0.091,1.7088245,1.4884435,1.1358905,0.6241702,4.6240945,3.9999242,0,0,0,0,0,0,0,10,0,10,10,10,0,2,0.12824418,0.018786427,0.12824418,0.10945775,0.1470306,0.037572853,4.240049,2.9760327,4.240049,1.2640164,7.2160816,5.9520655,0.11851852,2,0.47198,0.0079422,0.47198,0.4640378,0.4799222,0.0158844,0.3920471,0.20001759,0.3920471,0.1920295,0.5920647,0.40003517,attentive
